clause,risk_level,risk_explanation,plain_english,error
"This Master Franchise Agreement (“Agreement”) is made and entered into on the 20th day of November, 2018 (the “Effective Date”) at Mumbai, by and between Smaaash Entertainment Private Limited, an Indian company, with its address at Trade View, Level 2, Kamala Mills, Lower Parel, Mumbai 400013, India (“Franchisor”) and I-AM Capital Acquisition Company, a company incorporated in the United States of America, with an address at 1345 Avenue of the Americas, 11th floor, New York, 10105 (“Franchisee”).",Informational,"This clause identifies the parties involved, the effective date, and the location of the agreement. It sets the foundational context for the contract.","This agreement, called the Master Franchise Agreement, started on November 20, 2018, in Mumbai, between Smaaash Entertainment Private Limited (the Franchisor) from India and I-AM Capital Acquisition Company (the Franchisee) from the USA.",
"A. WHEREAS, Franchisor operates entertainment centers and gaming arcades throughout India as well as at the Mall of the Americas in Minneapolis Minnesota where Franchisor, through its virtual reality and sports simulation technology and proprietary gamification technologies provides sport and recreational activities/services; and",Informational,"This is a 'Whereas' clause, providing background information about the Franchisor's existing business operations and technologies. It establishes the context for the agreement.","The Franchisor currently runs entertainment and gaming centers in India and one in Minnesota, using its own virtual reality and sports simulation technology to offer recreational activities.",
"B. WHEREAS, Franchisee is [•] (add the business of the Franchisee); and",High,"This clause is incomplete, indicating a critical missing piece of information regarding the Franchisee's business. This omission creates ambiguity and could lead to disputes about the Franchisee's qualifications or scope.",This part of the agreement is incomplete and needs to be filled in with a description of what the Franchisee's business is.,
"C. WHEREAS, Franchisor desires to appoint Franchisee, and Franchisee desires to be so appointed, to act as Franchisor’s exclusive Franchisee in the territories of North America and South America (“Territory”) in the manner set out in this Agreement, for setting up, managing and operating entertainment centres and gaming arcades involving virtual reality, sports simulation technology and proprietary gamification technologies to provide sport and recreational activities/services to the public (“Smaaash Centres”), upon the terms and subject to the conditions hereinafter provided.",Informational,"This 'Whereas' clause outlines the mutual intent of the parties: the Franchisor wants to appoint the Franchisee as its exclusive operator in North and South America for Smaaash Centres, and the Franchisee agrees. It defines the scope and territory.","The Franchisor wants the Franchisee to be its exclusive partner in North and South America to set up and run Smaaash entertainment centers, and the Franchisee agrees to this role.",
"1.1 Rights granted to the Franchisee. Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory. The rights granted herein include the limited license to use the Trademarks of the Franchisor (the details of which are morefully set out in Exhibit A), as set out in Section 3 of this Agreement, for the purposes of establishing and operating the Smaaash Centres in the Territory. It is clarified that if third party franchisees shall be establishing and operating Smaaash Centres in the manner contemplated under this Agreement, then the Franchisee shall ensure that such third party franchisees complies with all the obligations and duties of the Franchisee, as recorded under this Agreement, and to this extent, Franchisee may enter into relevant agreements with such third party franchisees.",Low,"This clause clearly defines the extensive exclusive rights granted to the Franchisee, including operating, sub-licensing, using products/services, and identifying sub-franchisees, along with the responsibility to ensure sub-franchisee compliance. It provides a strong foundation for the Franchisee's business model.","The Franchisor gives the Franchisee exclusive rights to open and run Smaaash Centers in North and South America, including the ability to let other companies open centers and use the Franchisor's products and trademarks. The Franchisee must make sure any sub-franchisees follow all the rules of this agreement.",
"1.2 Notwithstanding the right granted to the Franchisee in Section 1.1, the Franchisor and its affiliates shall retain the right on the terms and conditions that the Franchisor may deem fit and without granting any rights therein to the Franchisee, (i) to own, acquire, establish and / or operate, and to a grant a license to third parties to establish and operate Smaaash Centres at any location outside the Territory, and (ii) to own, acquire, establish and / or operate, and to grant a license to third parties to establish and operate, gaming and entertainment centres under other proprietary marks or other systems, whether such centres are the same, similar or different from the Smaaash Centres, at any location within or outside the Territory.",Low,"This clause clarifies that the Franchisor retains significant rights outside the defined Territory and for other brands, even within the Territory, which is standard for protecting the Franchisor's broader business interests. It limits the exclusivity granted to the Franchisee to the specific Smaaash brand within the Territory.","Even though the Franchisee has exclusive rights in its territory, the Franchisor and its related companies can still open Smaaash Centers anywhere else in the world. They can also open other types of gaming and entertainment centers, under different brand names, anywhere in the world, including within the Franchisee's territory.",
"1.3 This arrangement has been entered into by the parties on an arms’length basis. All commercials between the parties in relation to the transactions contemplated under this Agreement, if not specifically provided in this Agreement, shall be agreed mutually between the parties.",Medium,"The 'arms' length basis' statement is standard, but the provision that unspecified 'commercials' will be mutually agreed upon introduces potential for future disputes or delays if parties cannot reach consensus. It highlights areas requiring further negotiation.",The parties are dealing with each other fairly and independently. Any financial details not already written in this agreement will need to be mutually decided by both parties later.,
"(a) Pricing. Franchisor and Franchisee shall agree upon and decide the locations at which the Smaaash Centres shall be set up within the Territory. The Franchisee shall not be entitled to set up any new Smaaash Centres without consulting with, and obtaining the prior written consent of Smaaash.",Medium,This clause gives the Franchisor significant control over the Franchisee's expansion by requiring mutual agreement on locations and prior written consent for new centers. This could slow down the Franchisee's growth if the Franchisor is not responsive or has different strategic priorities.,The Franchisor and Franchisee must agree on where to open new Smaaash Centers. The Franchisee cannot open any new centers without first talking to and getting written permission from the Franchisor.,
"(b) The prices of the products and services offered in each of the Smaaash Centres shall be decided mutually among the parties. Any revision to the agreed fees, including any discounts or prizes or other promotional measures shall require the prior written consent from Franchisor.",Medium,"This clause grants the Franchisor significant control over pricing and promotional activities, requiring mutual agreement for initial pricing and prior written consent for any revisions. This limits the Franchisee's flexibility in responding to local market conditions.","The prices for services and products at Smaaash Centers must be agreed upon by both parties. Any changes to these prices, including discounts or promotions, need the Franchisor's written approval first.",
"(c) Franchisee or the third party franchisee, as the case may be, shall be entitled to receive the revenue generated from each of the Smaaash Centres. If third party franchisees are operating the Smaaash Centres, then the Franchisee shall be entitled to receive, (i) 5% (five percent) of the capital expenditure as agreed among the parties for the particular Smaaash Centre as sign -on fees or upfront advance, and (ii) 5% (five percent) fee or commission of the revenue generated by such third party franchisees from the Smaash Centres on an annual basis.",Low,"This clause clearly outlines the revenue distribution model, specifying that the Franchisee (or sub-franchisee) receives center revenue, and the Franchisee earns a 5% capital expenditure fee and a 5% annual revenue commission from sub-franchisees. This provides clarity on financial terms.","The Franchisee or its sub-franchisees will keep the money earned from each Smaaash Center. If sub-franchisees are running the centers, the Franchisee will get a 5% upfront fee based on the center's setup cost and an additional 5% of the sub-franchisee's annual revenue.",
